Горад,Шырата,Далгата,Вобласць
Акцябрскі,52.64722,28.88333,Гомельская
Асіповічы,53.31,28.65889,Магілёўская
Астравец,54.61361,25.95528,Гродзенская
Ашмяны,54.41667,25.93333,Гродзенская
Бабруйск,53.1,29.22,
Баранавічы,53.11667,25.98333,Брэсцкая
Барысаў,54.23,28.5,
Беразіно,53.83333,28.98333,Мінская
Бешанковічы,55.033333,29.45,Віцебская
Брагін,51.78333,30.26667,Гомельская
Браслаў,55.643333,27.061389,Віцебская
БРЭСТ,52.13,23.67,
Б-Кашалёва,52.71667,30.56667,Гомельская
Быхаў,53.53,30.23,
Бялынічы,53.99556,29.70944,Магілёўская
Бяроза,52.55,24.96667,Брэсцкая
Валожын,54.08333,26.51667,Мінская
Ваўкавыск,53.17,24.47,
Верхнядзвінск,55.7667,27.9333,Віцебская
Ветка,52.56,31.18,
Вілейка,54.48333,26.91667,Мінская
ВІЦЕБСК,55.18,30.17,
Воранава,54.15,25.31667,Гродзенская
В. Бераставіца,53.18333,24.01667,Гродзенская
Ганцавічы,52.76167,26.42778,Брэсцкая
Гарадок,55.46666667,29.98333333,Віцебская
Глубокае,55.13,27.68,
Глуск,52.89,28.69,
ГОМЕЛЬ,52.44,30.98,
ГРОДНА,53.67,23.82,
Дзяржынск,53.68333,27.13333,Мінская
Дзятлава,53.45,25.4,Гродзенская
Добруш,52.41667,31.31667,Гомельская
Докшыцы,54.88333333,27.76666667,Віцебская
Драгічын,52.18333,25.15,Брэсцкая
Дрыбін,54.11944,31.09306,Магілёўская
Дуброўна,54.56666667,30.68333333,Віцебская
Ельск,51.81667,29.15,Гомельская
Жабінка,52.20056,24.02333,Брэсцкая
Жлобін,52.9,30.03333,Гомельская
Жыткавічы,52.217,27.85473,Гомельская
Зэльва,53.15,24.81667,Гродзенская
Іванава,52.13333,25.55,Брэсцкая
Івацэвічы,52.7,25.33333,Брэсцкая
Іўе,53.91667,25.76667,Гродзенская
Калінкавічы,52.13333,29.33333,Гомельская
Каменец,52.40278,23.80833,Брэсцкая
Капыль,53.15,27.09167,Мінская
Карма,53.129146,30.810577,Гомельская
Карэлічы,53.56667,26.13333,Гродзенская
Касцюковічы,53.33889,32.04611,Магілёўская
Кіраўск,53.26667,29.46667,Магілёўская
Клецк,53.06361,26.63722,Мінская
Клімавічы,53.61667,31.95,Магілёўская
Клічаў,53.48333,29.33333,Магілёўская
Кобрын,52.2,24.35,
Краснаполле,53.33333,31.40222,Магілёўская
Круглае,54.2479361,29.7966389,Магілёўская
Крупкі,54.33056,29.13806,Мінская
Крычаў,53.71944,31.71389,Магілёўская
Лагойск,54.2,27.85,Мінская
Лёзна,55.016667,30.8,Віцебская
Лельчыцы,51.78583,28.32472,Гомельская
Лепель,54.87,28.69,
Ліда,53.89,25.3,
Лоеў,51.93,30.8,
Лунінец,52.25,26.8,
Любань,52.78194,28.0525,Мінская
Ляхавічы,53.0395806,26.263,Брэсцкая
МАГІЛЁЎ,53.92,30.35,
Мазыр,52.05,29.23,
Маладзечна,54.31,26.85,
Маларыта,51.79722,24.08083,Брэсцкая
Пухавічы,53.51667,28.14722,Мінская
Масты,53.4,24.53333,Гродзенская
Мёры,55.61666667,27.61666667,Віцебская
МІНСК,53.92,27.55,
Мсціслаў,54.02,31.72,
Мядзел,54.87556,26.93861,Мінская
Навагрудак,53.58,25.82,
Нароўля,51.8,29.5,Гомельская
Нясвіж,53.22,26.67,
Орша,54.5,30.4,
Паставы,55.11666667,26.83333333,Віцебская
Петрыкаў,52.13333,28.5,Гомельская
Пінск,52.12,26.08,
Полацк,55.48,28.8,
Пружаны,52.56,24.46,
Рагачоў,53.1,30.05,Гомельская
Расоны,55.88333,28.8,Віцебская
Рэчыца,52.3724,30.387961,Гомельская
Салігорск,52.7841611,27.5425,Мінская
Светлагорск,52.63333,29.73333,Гомельская
Свіслач,53.03333,24.1,Гродзенская
Слаўгарад,53.45,30.99,
Слонім,53.08,25.32,
Слуцк,53.02,27.55,
Смалявічы,54.03333,28.08417,Мінская
Смаргонь,54.48,26.4,
Ст. Дарогі,53.03944,28.265,Мінская
Столін,51.88333,26.85,Брэсцкая
Стоўбцы,53.48,26.73,
Сянно,54.81667,29.68333,Віцебская
Талачын,54.41667,29.7,Віцебская
Узда,53.46611,27.22444,Мінская
Ушачы,55.18,28.62,
Хойнікі,51.9,29.97,
Хоцімск,53.40833,32.57222,Магілёўская
Чавусы,53.8,30.96667,Магілёўская
Чачэрск,52.92,30.92,
Чашнікі,54.85333,29.16472,Віцебская
Чэрвень,53.71,28.43,
Чэрыкаў,53.56667,31.36667,Магілёўская
Шаркаўшчына,55.36667,27.46667,Віцебская
Шклоў,54.20833,30.28694,Магілёўская
Шуміліна,55.3,29.6,Віцебская
Шчучын,53.6044,24.7426306,Гродзенская
