Горад;Скарот;Далгата;Шырата
Брэст;Брэст;23.67;52.13
Давыд-Гарадок;Д-Г;27.21;52.06
Кобрын;Кб;24.35;52.2
Лунінец;Лн;26.8;52.25
Пінск;Пн;26.08;52.12
Пружаны;Пр;24.46;52.56
Віцебск;Віцебск;30.17;55.18
Глубокае;Гл;27.68;55.13
Лепель;Лп;28.69;54.87
Орша;Ор;30.4;54.5
Полацк;Пл;28.8;55.48
Ушачы;Уш;28.62;55.18
Гомель;Гомель;30.98;52.44
Ветка;Вт;31.18;52.56
Лоеў;Ло;30.80;51.93
Мазыр;Мз;29.23;52.05
Тураў;Тр;27.74;52.07
Хойнікі;Хн;29.97;51.9
Чачэрск;Чч;30.92;52.92
Гродна;Гродна;23.82;53.67
Ваўкавыск;Вк;24.47;53.17
Ліда;Лд;25.30;53.89
Навагрудак;Нв;25.82;53.58
Слонім;Слн;25.32;53.08
Смаргонь;См;26.4;54.48
Магілёў;Магілёў;30.35;53.92
Бабруйск;Бб;29.22;53.1
Быхаў;Бх;30.23;53.53
Глуск;Гл;28.69;52.89
Мсціслаў;Мс;31.72;54.02
Слаўгарад;Слг;30.99;53.45
Мінск;Мінск;27.55;53.92
Барысаў;Бр;28.5;54.23
Маладзечна;Мл;26.85;54.31
Нясвіж;Нс;26.67;53.22
Слуцк;Сл;27.55;53.02
Стоўбцы;Ст;26.73;53.48
Чэрвень;Чр;28.43;53.71
